Date,Time,Open,High,Low,Close,Volume
2014.10.15,0:00,0.87077,0.8859,0.86742,0.87905,125128
2014.10.16,0:00,0.87907,0.88133,0.86847,0.87693,134106
2014.10.17,0:00,0.87693,0.88109,0.87344,0.87498,82747
2014.10.19,0:00,0.87547,0.87645,0.87461,0.87538,4496
2014.10.20,0:00,0.87538,0.88004,0.8748,0.87755,53816
2014.10.21,0:00,0.87756,0.88314,0.87565,0.87667,76909
2014.10.22,0:00,0.87667,0.88141,0.8743,0.87652,78319
2014.10.23,0:00,0.87652,0.88051,0.87478,0.87529,79820
2014.10.24,0:00,0.87529,0.88227,0.87176,0.87947,59822
2014.10.26,0:00,0.88028,0.88064,0.87951,0.88033,4032
2014.10.27,0:00,0.88033,0.88233,0.87877,0.88043,54730
2014.10.28,0:00,0.88043,0.88808,0.87994,0.88586,64270
2014.10.29,0:00,0.8859,0.89101,0.87626,0.87673,85746
2014.10.30,0:00,0.87674,0.88525,0.87543,0.8826,91189
2014.10.31,0:00,0.88261,0.88435,0.87633,0.87987,106549
2014.11.02,0:00,0.87539,0.87601,0.87444,0.87504,4526
2014.11.03,0:00,0.87504,0.87596,0.86767,0.86883,95287
2014.11.04,0:00,0.86887,0.87606,0.86441,0.87442,98962
2014.11.05,0:00,0.87442,0.8754,0.85619,0.85773,113614
2014.11.06,0:00,0.85772,0.86261,0.85515,0.85606,116417
2014.11.07,0:00,0.85606,0.86562,0.85397,0.86261,115716
2014.11.09,0:00,0.8645,0.86539,0.86361,0.86419,4708
2014.11.10,0:00,0.86418,0.86814,0.86079,0.86231,78076
2014.11.11,0:00,0.8623,0.87179,0.85895,0.87036,110731
2014.11.12,0:00,0.87033,0.87438,0.86642,0.8708,107044
2014.11.13,0:00,0.87085,0.87631,0.86708,0.87042,87273
2014.11.14,0:00,0.87042,0.87721,0.86471,0.8747,94029
2014.11.16,0:00,0.87682,0.87701,0.87454,0.87502,4379
2014.11.17,0:00,0.87502,0.8795,0.8694,0.87066,90094
2014.11.18,0:00,0.87067,0.87456,0.8681,0.87077,81449
2014.11.19,0:00,0.87077,0.87096,0.85928,0.86028,103621
2014.11.20,0:00,0.86026,0.86399,0.85652,0.86198,110946
2014.11.21,0:00,0.86199,0.87216,0.86041,0.86656,106526
2014.11.23,0:00,0.8673,0.86813,0.86662,0.86783,5123
2014.11.24,0:00,0.86784,0.86995,0.85884,0.85999,67401
2014.11.25,0:00,0.85997,0.86163,0.85125,0.85568,109148
2014.11.26,0:00,0.85567,0.85644,0.84788,0.85299,97974
2014.11.27,0:00,0.853,0.86141,0.85102,0.85249,74107
2014.11.28,0:00,0.85247,0.85393,0.84845,0.85026,78655
2014.11.30,0:00,0.84762,0.84813,0.84257,0.84391,7949
2014.12.01,0:00,0.84391,0.85308,0.84159,0.84777,107812
2014.12.02,0:00,0.84776,0.85414,0.8432,0.84572,96448
2014.12.03,0:00,0.84572,0.84662,0.83843,0.83957,94597
2014.12.04,0:00,0.83957,0.84285,0.83547,0.83856,106024
2014.12.05,0:00,0.83857,0.83921,0.83138,0.8326,79334
2014.12.07,0:00,0.8309,0.83145,0.82939,0.83061,4883
2014.12.08,0:00,0.83059,0.83231,0.8259,0.82982,88716
2014.12.09,0:00,0.82982,0.83702,0.82228,0.82962,110171
2014.12.10,0:00,0.82963,0.8347,0.82635,0.83305,105825
